IDProduto,IDProdutoPai,NomeCat,CodProd,NomeProd,Descricao,Peso,Estoque,Preco,Disponivel,Lancamento,EmDestaque,IDsFiltroItem
6217460,,Abraçadeira,170627,"Abraçadeira rosca sem fim AE 913, 3/8"" a 1/2"", Vonder 2912400913",Indicada para fixação de mangueiras,0.01,0,0,False,False,False,154994
6139176,,Acessórios,450299,Disco de Serra Mármore Especial Para Madeira Bosch 2608623003,"Discos de Corte Diamantados para Serra Mármore
Disco especial para madeira com grãos de carbureto de tungstênio. Rápido, fácil e seguro.",0.1,5,34.67,True,False,False,154981
6139435,,Acessórios,454514,Disco Diamantado Liso Para Cerâmica 105mm Bosch 2608603676,"Disco ideal para uso universal em ladrilhos de cerâmica, proporcionando cortes de ótima qualidade, com precisão e limpos.",0.11,5,15.21,True,False,False,154981
6139437,,Acessórios,454515,Disco Diamantado Liso Para Porcelanato 110mm Bosch 2608602728,"Disco Liso para Porcelanato
Disco de corte para serra mármore que pode ser usado a seco ou a úmido em porcelanato liso.
Combinação duração/rendimento permite cortar sem problema.",0.14,5,58.77,True,False,False,154981
6139528,,Acessórios,454512,Disco Diamantado Universal Segmentado 105mm Bosch 2608603674,"Disco de corte diamantado para todos os tipos de materiais de construção, tijolos e concreto.",0.1,0,15.21,True,False,False,154981
6139530,,Acessórios,454513,Disco Diamantado Universal Turbo 105mm Bosch 2608603675,"Disco de corte diamantado para todos os tipos de materiais de construção, tijolos, concreto, telhas, mármore e granito.",0.1,1,15.21,True,False,False,154981
6139984,,Acessórios,453688,Bocal de Cantos para Aspiradores  20/1- Karcher 69003850,Ferramenta pl stica (DN 35) para aspiração em fendas e cantos. Comprimento: 210 mm.,0.03,1,29.98,True,False,False,154984
6139985,,Acessórios,453901,Bocal com Cerdas para Limpadoras a Vapor  - Karcher 28842800,"Ferramenta port til com escovas adicionais para limpeza de pequenas  reas como box de chuveiro, azulejos, etc. Adequado para uso com ou sem cobertura.",0.15,1,138.52,True,False,False,154984
6139986,,Acessórios,453676,Bocal p/ aspiradores limpeza de estofados e cortinas NW 35 Karcher 69059980,Bocal de Cortinas e superfícies de tecidos,0.03,1,60.34,True,False,False,154984
6139988,,Acessórios,453705,"Filtro de Cartucho para Aspiradores NT 20/1, A 2104 ou A 2104 PLUS - Karcher 93022600",O filtro de cartucho pode ser utilizado em substituição ao filtro permanente.,0.17,2,44.12,False,False,False,154984
6210765,,Acessórios,249407,Broca Sds Max M4 16x400x540mm Bosch 2608685861,"Potência e resistência profissional para sua ferramenta.
- Longa vida útil na perfuração em concreto
-  Metal de alta durabilidade
-  4 arestas, soldagem e têmpera a vácuo
-  Espiral dupla forma",0.61,1,189.81,True,False,False,154981
6210856,,Acessórios,19050,Broca Sds Max M4 18x400x540mm Bosch 2608685863,"Potência e resistência profissional para sua ferramenta.
- Longa vida útil na perfuração em concreto
-  Metal de alta durabilidade
-  4 arestas, soldagem e têmpera a vácuo
-  Espiral dupla forma",0.69,1,187.69,True,False,False,154981
6210859,,Acessórios,19190,Broca Sds Max M4 22x400x520mm Bosch 2608685867,"Potência e resistência profissional para sua ferramenta.
- Longa vida útil na perfuração em concreto
-  Metal de alta durabilidade
-  4 arestas, soldagem e têmpera a vácuo
-  Espiral dupla forma",0.83,1,202.62,True,False,False,154981
